message,market,channel
OTP is not arriving and the agent is unable to access the account.,Kenya,Email
I paid by mobile money this morning but the payment is not showing on the account.,Tanzania,WhatsApp
Technician did not come for the scheduled installation visit.,Myanmar,Call notes
Customer says the lights are off although the system was charged.,Nigeria,Ticketing tool
M-Pesa payment completed but the product is still locked.,Nigeria,Agent app
Agent says the customer is unhappy and needs support.,Tanzania,WhatsApp
Customer says an agent took cash but it is missing from the account. Please investigate.,Kenya,WhatsApp
Customer asks whether they can pay off the remaining balance early.,Kenya,Call notes
M-Pesa payment completed but the product is still locked.,Nigeria,Ticketing tool
OTP is not arriving and the agent is unable to access the account.,Myanmar,Ticketing tool
Payment went through but customer did not receive the unlock code.,Kenya,Ticketing tool
Please help with this customer case urgently.,Myanmar,Email
